,normalized_title,offer_price_amazon,mrp_amazon,offer_price_prokick,mrp_prokick,offer_price_instasports,mrp,clean_title,color,pack_size,limited_edition,speed
117,yonex gr 303 aluminium blend badminton racquet with full cover,499.0,750.0,,,,,yonex gr 303 aluminium blend badminton racquet with full cover,,,No,
118,yonex gr 303 aluminium blend badminton racquet with full cover,499.0,750.0,,,,,yonex gr 303 aluminium blend badminton racquet with full cover,,,No,
119,badminton bag sunr 2215 bt5 black neon/8903224352264,730.0,1490.0,,,,,badminton bag sunr 2215 bt5 neon/8903224352264,black,,No,
120,yonex graphite badminton racquet astrox 88d game with full cover (camel gold),6990.0,8190.0,,,,,yonex graphite badminton racquet astrox 88d game with full cover,gold,,No,
121,yonex graphite badminton racquet astrox 99 pro with full cover (white tiger),14196.0,17990.0,,,,,yonex graphite badminton racquet astrox 99 pro with full cover,white,,No,
122,"yonex graphite duora z strike professional badminton racquet with free full cover (black, white, 88 grams , 28 lbs tension, made in japan)",11749.0,18795.0,,,,,yonex graphite duora z strike professional badminton racquet with free full cover,"black, white",,No,
123,yonex badminton club racquet bag 22426t bt6-sr,3320.0,4599.0,,,,,yonex badminton club racquet bag 22426t bt6-sr,,,No,
124,"yonex astrox 77 pro badminton racquet (unstrung) (4ug5) ,orange,carbon graphite",11089.0,19595.0,,,,,"yonex astrox 77 pro badminton racquet ,,carbon graphite",orange,,No,
125,"yonex smash badminton racquet (g4, 73 grams, 28 lbs tension)",2495.0,4190.0,,,,,yonex smash badminton racquet,,,No,
126,"yonex voltric lite badminton pre-strung racket (black/yellow)(4ug5), graphite",2879.0,3990.0,,,,,"yonex voltric lite badminton pre-strung racket , graphite","black, yellow",,No,
127,"yonex graphite badminton racquet astrox 1dg (blue, black)",3790.0,5190.0,,,,,yonex graphite badminton racquet astrox 1dg,"blue, black",,No,
128,"yonex ac 402 ex synthetic badminton grip, yellow",181.0,,,,,,"yonex ac 402 ex synthetic badminton grip,",yellow,,No,
129,"yonex nanoflare 700 badminton racquet (blue green, graphite, g5 - 83g)(made in japan )",16603.0,17990.0,,,,,yonex nanoflare 700 badminton racquet,"blue, green",,No,
130,"yonex astrox lite 27i graphite strung badminton racquet (g5 , dark navy)",2099.0,2990.0,,,,,yonex astrox lite 27i graphite strung badminton racquet,navy,,No,
131,"yonex graphite badminton racquet astrox lite series (g4, 77 grams, 30 lbs tension) (astrox 01 ability red)",2075.0,3150.0,,,,,yonex graphite badminton racquet astrox lite series,red,,No,
